incident_id,timestamp,agent_name,agent_type,task,tool,llm_model,error,root_cause,fix,severity,environment,status,team,department,response_time_ms,token_usage,cost_usd,user_impact,region,incident_duration_minutes,retry_count,customer_tier,sla_breached,workflow_id,agent_version,failure_category,business_impact
INC-100000,2024-09-12 09:14:38,AnalyticsAgent_2,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Staging,Resolved,Data Engineering,Operations,4966,20528,0.0676,Medium,APAC,99,2,Enterprise,True,WF-1098,v1.0,Data,Operational Disruption
INC-100001,2026-05-05 15:12:39,DocumentAgent_2,DocumentAgent,Document Processing,DocumentParser,mistral-large,Invalid Response,Poor Prompt Design,Prompt Optimization,Medium,Production,Resolved,AI Platform,Engineering,1558,15103,0.2439,Medium,APAC,63,1,Free,False,WF-1067,v1.0,Prompting,Medium
INC-100002,2024-07-19 03:34:48,FinanceAgent_4,FinanceAgent,Financial Forecasting,SQLDatabase,gemini-1.5-pro,Timeout,Rate Limit,Retry Logic,Medium,Production,Investigating,Finance Analytics,Finance,4834,6452,0.0288,Medium,US-West,93,1,Professional,True,WF-1031,v1.0,Performance,Operational Disruption
INC-100003,2025-06-14 06:58:18,MonitoringAgent_1,MonitoringAgent,KPI Monitoring,MonitoringAPI,gpt-4o,Data Quality Issue,Missing Fields,Data Cleaning,High,Production,Investigating,MLOps,Operations,11116,9286,0.2059,High,US-West,1338,5,Free,True,WF-1094,v1.0,Data,Operational Disruption
INC-100004,2025-03-29 08:23:36,PlanningAgent_1,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Invalid Response,Poor Prompt Design,Prompt Optimization,Critical,Production,Open,Business Intelligence,Product,24658,14108,0.0761,Critical,US-West,9396,7,Free,True,WF-1010,v1.0,Prompting,Revenue Loss
INC-100005,2024-08-15 21:32:38,ReportingAgent_4,ReportingAgent,Report Generation,DataWarehouse,gemini-1.5-pro,API Failure,Third Party Outage,Circuit Breaker,High,Production,Investigating,Data Engineering,Engineering,15973,19545,0.0485,High,Middle East,557,3,Enterprise,True,WF-1050,v1.0,Infrastructure,High
INC-100006,2024-08-15 12:38:13,DocumentAgent_1,DocumentAgent,Document Processing,DocumentParser,mistral-large,Parsing Error,Malformed Document,Input Validation,Medium,Staging,Investigating,AI Platform,Engineering,2156,39096,0.6316,Medium,US-East,92,1,Enterprise,True,WF-1008,v1.0,Data,Medium
INC-100007,2025-02-12 06:15:02,ComplianceAgent_1,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Invalid Response,Poor Prompt Design,Prompt Optimization,Medium,Production,Resolved,Compliance,Legal,6986,15742,0.3072,Medium,EU-West,228,3,Free,False,WF-1073,v1.2,Prompting,Operational Disruption
INC-100008,2024-10-29 15:03:06,SupportAgent_4,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Hallucination,Missing Context,Improve Retrieval,High,Production,Resolved,Customer Success,Customer Support,12345,4608,0.138,High,US-West,511,4,Enterprise,True,WF-1041,v1.2,Reasoning,High
INC-100009,2025-06-30 01:55:32,SupportAgent_1,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Hallucination,Missing Context,Improve Retrieval,High,Production,Open,Customer Success,Customer Support,9891,10287,0.2019,High,US-West,459,6,Professional,True,WF-1070,v1.2,Reasoning,Operational Disruption
INC-100010,2026-02-25 23:13:06,MonitoringAgent_3,MonitoringAgent,KPI Monitoring,MonitoringAPI,gpt-4o,API Failure,Third Party Outage,Circuit Breaker,Low,Staging,Resolved,MLOps,Operations,1349,2989,0.045,Low,US-East,28,1,Free,False,WF-1027,v1.1,Infrastructure,Low
INC-100011,2024-10-28 14:44:46,PlanningAgent_4,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Timeout,Rate Limit,Retry Logic,Low,Development,Resolved,Business Intelligence,Product,1167,38275,0.1526,Low,Middle East,3,1,Free,False,WF-1021,v1.1,Performance,Low
